,price,location,beds,baths,area,title,created_at
155,3.9 Crore,"Sufiyan Garden, Warsak Road",7,8,10 Marla,House In Sufiyan Garden For sale,Added: 5 days ago
156,5.4 Crore,"Askari 6, Peshawar",5,6,12 Marla,12marla beautiful house for sale,Added: 1 week ago
157,5.4 Crore,"Warsak Road, Peshawar",7,8,10 Marla,Your Search For House In Warsak Road Ends Here,Added: 1 week ago
158,1.6 Crore,"Wapda Town Sector B, Wapda Town",6,6,7 Marla,7 Marla House Situated In Wapda Town Sector B For sale,Added: 1 week ago
159,1.6 Crore,"Wapda Town Sector E, Wapda Town",6,6,7 Marla,7 Marla House In Stunning Wapda Town Sector E Is Available For sale,Added: 1 week ago
160,6.5 Crore,"Hayatabad Phase 2 - G3, Hayatabad Phase 2",,,1 Kanal,1 Kanal House In Hayatabad Phase 2 - G3 For sale,Added: 8 hours ago
161,8.2 Crore,"Hayatabad Phase 3 - K1, Hayatabad Phase 3",10,6,1 Kanal,kanal solid house available for sale,Added: 1 day ago
162,90 Lakh,"Darmangi, Warsak Road",4,4,3 Marla,3 Marla House Available For sale In Darmangi,Added: 19 hours ago
163,1.8 Crore,"Arbab Sabz Ali Khan Town, Warsak Road",6,6,,Prime Location 6 Marla House For sale In Arbab Sabz Ali Khan Town Peshawar,Added: 19 hours ago
164,2.15 Crore,"Regi Model Town, Peshawar",8,,5 Marla,5 Marla fresh house for sale in Regi model town zone 3,Added: 1 day ago
165,3.5 Crore,"Al Haram Model Town, Peshawar",10,6,7 Marla,"7 Marla House For Sale At Alharam Model Town, Peshawar.",Added: 2 days ago
166,1.65 Crore,"Sufiyan Garden, Warsak Road",5,5,5 Marla,Ready To Buy A House 5 Marla In Sufiyan Garden,Added: 5 days ago
167,1.6 Crore,"Ring Road, Peshawar",6,6,6 Marla,House In Ring Road For sale,Added: 3 hours ago
168,1.6 Crore,"Ring Road, Peshawar",6,6,6 Marla,Affordable House For sale In Ring Road,Added: 3 hours ago
169,1.5 Crore,"Ring Road, Peshawar",6,6,5 Marla,House For sale In Ring Road Ring Road,Added: 3 hours ago
170,1.5 Crore,"Ring Road, Peshawar",6,6,5 Marla,Reserve A Centrally Located House Of 5 Marla In Ring Road,Added: 3 hours ago
171,1.6 Crore,"Ring Road, Peshawar",6,6,6 Marla,6 Marla House Is Available For sale In Ring Road,Added: 3 hours ago
172,1.5 Crore,"Ring Road, Peshawar",6,6,5 Marla,Ideally Located House For sale In Ring Road Available,Added: 3 hours ago
173,1.5 Crore,"Ring Road, Peshawar",6,6,5 Marla,Ideal House For sale In Ring Road,Added: 3 hours ago
174,1.6 Crore,"Ring Road, Peshawar",6,6,6 Marla,Ready To Buy A House 6 Marla In Ring Road,Added: 3 hours ago
