,Tweet
52,"صحت کارڈ پر حمل و زچگی کی سہولیات حاصل کرنے کے لیے شادی شدہ افراد NADRA میں اپنا ریکارڈ اپڈیٹ ضرور کروائیں اور اس بات کو یقینی بنائیں کہ شوہر اور بیوی کا ریکارڈ ایک دوسرے کے ساتھ منسلک ہو

@PSHDept @SHCMEHealth @PHC_Punjab @NadraPak 

#phimcpk #SehatCard #punjab https://t.co/8R4feGaKtp"
53,"صحت کارڈ کے تحت علاج کی بلا تعطل اور بر وقت فراہمی کے لئے خاندان کے تمام افراد کے کوائف کانادرامیں درست  اور مکمل اندراج ضروری ہے۔

@PSHDept @SHCMEHealth @PHC_Punjab @NadraPak 

#phimcpk #SehatCard #punjab https://t.co/8GelSikCfR"
54,@AbdulwahidAmina @Jhagra I am not a supporter of any political party or audio leaks. Sehat card was a good initiative which is still going on and that's what matters.
55,"Imran Khan provided Langar Khana, Shelter Home, Rehri Baan Program, Sehat Card and so on for poor People with taking into consideration people dignity... But this Corrupt Govt disbanded all the above and distributing low quality free floor to people treating them like animal."
56,@MuhibRizvi7 Teri shakal per laanat beshumar . Mere abbo ka tang ka operation sehat card per howa tha Islamabad mai without any coast. Tlp fitna..shukat khanam Mai kitne cancer kay patients ka elaj hota hai free. Lakh di lanat
57,"پنجاب کے مستقل رہائشی ہونے کی صورت میں آپ کا شناختی کارڈ ہی آپ کا صحت کارڈ ہے۔ لہذا صحت کارڈ سے مستفید ہونے کے لیے شناختی کارڈ (18 سال سے کم عمر افراد کا ب فارم) لازمی بنوائیں۔ 

@PSHDept @SHCMEHealth @PHC_Punjab @NadraPak 

#phimcpk #SehatCard https://t.co/qcmYVSsUt7"
58,@AbdulwahidAmina @Jhagra When did I favour the distribution system for free atta? How many langar khanas were established by the PTI government and how many did Sailani trust establish which the PTI government gave the impression of establishing? Sehat card is still on and functional kdy double check.
59,Sehat Sahulat Card is a good option for your medical treatment.
60,"List of empaneled hospitals of ""Sehat Card"" in Multan Division.

#phimcpk #SehatCard #healthcards #punjab #Multan  #Khanewal #Lodhran  #Vehari https://t.co/ekoj8Bfyen"
61,"HOW SEHAT CARD PLUS KP WORKS

With Sehat Card, you can access quality healthcare without breaking the bank.

#sehatcard #sehatcardplus #healthcare #healthinsurance #medicalcare #SehatCard https://t.co/RiZozSI3MI"
62,"@shafiqniazi97 @Naya__Pakistan_ O baigarat insan bakwas bnd kr .... Fitna na phaila chotya kahi ka.... Us k dur mai 10 lakh ka sehat card bhi tha tery mama bap ya khandan mai kisi na tu kr waya hoga elaj, panagahy bhi thee, waha acha khana aur rehny ki jgha bhi mil rhe the, petrol 150 tha Dollar 170 tha ,"
63,@MaryamNSharif Pine apple chor. Numl univ shauqat khanaum hospitals sehat card etc aor london chor
64,"@IsobelYeung - Pathetic response of Sindh &amp; federal govt to the floods
- Discontinuation of Ehsaas &amp; Sehat card program
- Custodial torture of a PHD professor Shahbaz Gill
- Deaths of PTI workers
- Appointment of an illegal COAS
- Unconstitutional role of the army
- Economy &amp; inflation

2/n"
65,"- Pathetic response of Sindh &amp; federal govt to the floods
- Discontinuation of Ehsaas &amp; Sehat card program
- Custodial torture of a PHD professor Shahbaz Gill
- Deaths of PTI workers
- Appointment of an illegal COAS
- Unconstitutional role of the army
- Economy &amp; inflation

2/n"
66,"@SHABAZGIL Gill sahb na bilkul saii bat ki ❤ 
musabitayn sirf middle class k lia hi huti hain 
Imran Khan sab b yahe kehty hain k jab kisi ghar ma koi banda bemar hu jai serious to Qarzzzz sir pe charhh jata ha is lia sehat card buhat acha nikala tha , us sa faida hua❤"
67,"@ahmedikram_ What kind of impression does it leave on the Sehat Card scheme? Does it mean that the costs are going to balloon, thus rendering it unsustainable?"
68,@haqiqat01 @Rakiti313 @AsadMahmoodJUI 10 lakh sehat card cancer 3 haspatl 14 hazar fana ghai Universits namal gharebanoo dapara
69,@Rubi_0099 I'm patient with sehat card
70,#phimcpk #SehatCard #punjab #lahore #Rawalpindi #Faisalabad #multan #DGKhan #Sahiwal #bahawalpur #Gujranwala #Sargodha #healthcards https://t.co/1HMLWQ9yuM
71,A province leading in social security projects like sehat card and ehsas program is reduced to colonial rubble with a viceroy ruling over it!
72,"@Nasiriq33497807 @AhmadtheRealtor @DGISPRUR 45 years MN ik dam nhi bna
3 dam 2020 m start kye
Us nay flyover nhi long term Socha
Ab 
Kuch logon ko
Flyover achay lgty
Sehat card 
Buht bRi opportunity thi
Lekin logon ko 
Dramy Pasand
Patrol 150 ka tha3jb international market 129 USD thi  ab international 48USD 
Aur awam 290"
73,"People laughing on Sehat card, Langar khana and panah ghas never understand that EHSAAS inculcate self respect within the poor sector of the society. Hats off to IK for providing safety network without compromising self esteem of the people."
74,"@Muhamma88814052 @iAdeenaMubashar @Shehzad89 Major growth in export (highest) 34b dollars, COVID policies great control to -1% GDP while US -3%, rise of GDP to 5.9%, substantial growth in IT sector 10k+ IT companies registered in 21, Naya Pakistan Housing Scheme, Sehat Card, Qayam khany for ppl who sleep on road etc etc.."
75,#phimcpk #SehatCard #punjab #lahore #Rawalpindi #Faisalabad #multan #DGKhan #Sahiwal #bahawalpur #Gujranwala #Sargodha #healthcards https://t.co/RIG64lwbvq
76,"@AimalWali Melo ... Yu khan vo che har sa pa izzat vo ..ghareeb da para sehat card aw Ihssass program vo. .aw taso easy load dlaa .
Wyi sharmedalo"
77,"@thisahmed27 @thecitizen_pak Wise guy we spend lot on education. But all of it goes into pockets of politicians &amp; babus. 
What you see in federal budget isn’t true. Defence is federal subject&amp;education is a provincial matter.
IK could spend 100s of billions on Sehat Card but destroyed education in KP&amp;Punjab."
78,#phimcpk #SehatCard #punjab #lahore #Rawalpindi #Faisalabad #multan #DGKhan #Sahiwal #bahawalpur #Gujranwala #Sargodha #healthcards https://t.co/aAkowbSCeQ
79,#phimcpk #SehatCard #punjab #lahore #Rawalpindi #Faisalabad #multan #DGKhan #Sahiwal #bahawalpur #Gujranwala #Sargodha #healthcards https://t.co/hVSs9Cmvjf
80,@OryaMaqboolJan 10 lakh ke medical insurance bhi churai howe i thi sindh mai ajj bhi lakho rs ka elaaaj bilkul free without sehat card only nic requrired chacha app na i boley to acha hai
81,"@glueball10 @Faizankhaan91 @Drshani48 SS and PML-Nakam tola were here to ensure NRO, and to prevent disqualification so Faizan's son can be a slave to Junaid Safdar; they were never here for the people bhai. Didn't dumshite chorni say ke Sehat card bund karwado? With this apathy, they claim to care for the common man"
82,"In case of any guidance or Complaints regarding the SEHAT CARD, please contact the TOLL-FREE Number 0800-09009.

#phimcpk #SehatCard https://t.co/swxGIZIGHm"
83,"The Punjab government must immediately release Rs. 83 billion to the ensure continuation of the program.

Read More: https://t.co/5HPdJgIhHm

#Punjab #SehatCard #HealthCard #SehatSahulatProgram https://t.co/2kKc6U4L6m"
84,I miss initiatives like sehat card. It was such a relief. Now I've spent lacs over my health and still it's a long long process😔
85,#phimcpk #SehatCard #punjab #lahore #Rawalpindi #Faisalabad #multan #DGKhan #Sahiwal #bahawalpur #Gujranwala #Sargodha #healthcards https://t.co/o4rEGEiIiu
86,"صحت کارڈ کے حوالے سے تمام تر معلومات، اپنی اہلیت اور ہسپتالوں کی تفصیلات وغیرہ جاننے کے لیے ""صحت کارڈ"" کی ایپ ڈاؤن لوڈ کریں۔

Android: https://t.co/hSlISayDZB
iOS: https://t.co/JKVxtDUo9C

#phimcpk #SehatCard https://t.co/oEpe0RO7aV"
87,"Sehat programme in #Punjab faces closure due to non-payment of Rs83bn dues, warns State Life Insurance Company. Political motives are cited as one reason for the programme's failure, reportedly , with PML-N government slowing down the health card programme launched by the #PTI.… https://t.co/e64rnCGDf6"
88,@hinaparvezbutt Kia ajeeb khatoo n hy ALLAH kry ya shareef sary mar jay khuda barbad kry inko jinhon ny sehat card band kia hy or Islamabad main greeb ki rehrai tori hy
89,@khaiberpanizai @iihtishamm CPEC ke baare me pata bhi hai k band kiu karwaaya tha Khan ne? Orange line ki kisi ko zarurat nahi thi. Lahore ki khubssorti ka kachra bana dia hai. Imran Khan ne jo projects bnae hain un ki aik jhalak dekho. Ye chote projects kuch bhi nahi hain. Sehat card in sab par bhari hai
90,#phimcpk #SehatCard #punjab #lahore #Rawalpindi #Faisalabad #multan #DGKhan #Sahiwal #bahawalpur #Gujranwala #Sargodha #healthcards https://t.co/mPsPjTTfHa
91,@saifullahawan40 Beekari bana kr Awam ko Flex mar rhy woow Nice 10 lac k sehat card sa 900 ki Aty ki bori tk ka safar 1 saal ma 👏🏻👏🏻👏🏻
92,"𝗦𝗠𝗦 𝘆𝗼𝘂𝗿 𝗻𝗮𝘁𝗶𝗼𝗻𝗮𝗹 𝗶𝗱𝗲𝗻𝘁𝗶𝘁𝘆 𝗰𝗮𝗿𝗱 𝗻𝘂𝗺𝗯𝗲𝗿 𝘁𝗼 𝟴𝟱𝟬𝟬 𝗮𝗻𝗱 𝗰𝗵𝗲𝗰𝗸 𝘆𝗼𝘂𝗿 𝗲𝗹𝗶𝗴𝗶𝗯𝗶𝗹𝗶𝘁𝘆 𝙛𝙤𝙧 𝑺𝒆𝒉𝒂𝒕 𝗰𝗮𝗿𝗱 .

#phimcpk #SehatCard https://t.co/nBZlUT1UnM"
93,"@mianaajiz @FadiViews @Rabipirzada @MaryamNSharif @ImranKhanPTI 1 - sehat card 
2 - ihsas program,Jo gar beta gharebo ko 12000 milta ta..our ab ghareeb ktna zalil Hota ha..halat apka smna hai
3 - peshwer metro 
4 - cancer hospital peshwer
Carona ma ksa sub handle keya ta..
Ek mehngai ti Khan k hakumat ma..iss sa Inkr ni keya jasta"
94,"List of empaneled hospitals of ""Sehat Card"" in Lahore Division.

#phimcpk #SehatCard #healthcard #punjab #Lahore #kasur #nankana #sheikhupura https://t.co/mKFSzqL0oy"
95,@ImranKhanPTI Khan saab shaukat khanam k Har mareez ki Maa ki dua apkay sath hay. Puri qoum ki duain apkay sath hain last week sehat card per mairi dost k bhae ka ilaj hoa apko andaza nahe kitnay logo ki dua apko ghairay hoay hay. Ap hamari akhri umeed.
96,"@drmanwarch @Ch_Rashad_Ali @soldierspeaks Ghatia insan kuin galiyan sun nay ka shoq ha atay keh chakar pay Jo log maray unki bacwas taray jaisy nahi karty aur imran khan pay bolna bohat yad aata yaad rakho 12000 aur 650 ka palra baraber nahi ho skta 
Koi bukha na soye 
Sehat insaf card health insurance 1/2"
97,"@CMShehbaz Your tweet reflects your failure, stop blaming  and think about your bad governance. Divert people mind from leaked audio clips, maryam instructed you to terminate sehat card facility. History witnessed, your govt tenure is worst then ever"
98,#phimcpk #SehatCard #punjab #lahore #Rawalpindi #Faisalabad #multan #DGKhan #Sahiwal #bahawalpur #Gujranwala #Sargodha #healthcards https://t.co/OuIozzC5O9
99,"@Hanna_Speakss @mominalimunshi Level like Murad, atif, Muhammad Ali. A province worst hit by terrorism and then military operations, many things could have gone wrong if Khan hadn't given them hope and power. Sehat card, Ehsas Program, Covid relief, awareness for environmental issues, SNC, Islamophobia Day,"
100,"@nouri70124 @tonyashai @ImranKhanPTI Hahahahah..
If u think sehat card and langarkhana are the initiatives to improve economy of pakistan thn u n i have nothing to debate"
101,"@muteebsiddiqui_ Bro It was phase 1, and don't forget In phase 1 of Insaf Card was also not for everyone. The thing is Khan should accept that Sehat Card was not his initiative, it was Mian Nawaz Sharif's initiative. He stole the whole credit of it bcz he's a small-minded man."
102,"@PTIofficial Imran khan sub sy jo azeem 2 kam hn wo 
NTS or Sehat card hn❤️❤️"
103,@BTPakistan Old man go get a life .. you believe isi gave him sehat card plan?? Or increased foreign reserve?? He succeeded in stabilising economy even in COVID and what has been done in this 1 year?? Remember that words of bilal who said rupee got stability and it hasn't got any..
104,"@shozibehsan @AnwarLodhi @mohsinkpt_M Nawaz 450 ki dehari ly kar 20 kg 640
Or Khan 1000 ki dehari ly 20 kg 750

Sharam?

Nawaz ka dor fix 17 rupy electric unit
Khan k dor main 12 sy 19 rupy consumption k hisab sy

Sharam?

Nawaz k dor main elaj apny kharachy py
Khan k dor main sehat card

Ab to paka doob maro"
105,@iamshafaatali 25 rs tha kah 1 rs tha .wo sehat card jis se ye gareeb log faida utha laite thae wo ap ke leadero ne khatum kar dia hai...koi parodi hae bna do ise pe
106,"@WasifChaudhary_ @salmanmasood Covid - NCOC run by army
Billion tree - good job
Sehat card - good job
Kamyab jawan, khushal kisan - what is the result?
How many houses built?
Textile exports - because of devaluation
What did we gain on Kashmir? Anyone can do speeches. Show results."
107,"@WaleedBinTariq9 This card is for specified person, but Khan’s Sehat Card is for everyone with (10 lacs budget)"
108,"@ShamaJunejo https://t.co/Jn2kNFzOQW aankhon aur dimagh ka illj karwa lo. Sehat card toh bund kar dya bhikkarion ne, warna free mein checkup ho jata!"
109,"@KlasraRauf 6% growth rate Nazar nai ayy?, Covid main ehsaas program(Puri duya main top 4 main ranked) nazar nai aya? 10lakh ka sehat card? nahin? wasay list aur bhi hai. Jis cheez nai josh mara woh khon nai app ki munafqat thi

https://t.co/T34IZ1IrSh"
110,@DunyaNews PDM members are getting hospitilised and treated abroad in London and Dubai while the Pakistani public has been deprived of the Insaf Sehat Card and is struggling to get medical treatment in their own country.
111,"@196050A @salmanmasood CoViD, Billion Tree, Sehat Card, Kamyab Jawan, Khush hal Kisan, Building houses (Akhuwat), Industries especially Textile, IT exports, Islamophobia, Kashmir/Palestine issues, voting rights for OPs and many more..."
112,"Jo baat hai. Sehat card, shaukat khanum, panagah, billion trees, kamyaab jawan, kartarpur, naya pak housing, yeh sab nawaz sharif ke tenure mai hua tha.  Ek vari fir sher 🐅"
113,"We Aspo Nalona wahal nu chendahano am hpi ochati kri che munglam owhaa.

From 10lac Sehatcard, 14 hxr Ihsas program, Koi bhoka na soye Program, Langar Khana, and Much more to Muft Ata 10kg 3x tak ka safar🤐😐"
114,@kayaniha Its strange while having health card and old age benefits what not in canada..  u say what IK has done ..sehat card or panagah? while living in system u still say all this? Well Alhumdolillah most Canadians support IK cause its sad to meet you sir ✌️ peace
115,@Zaishe57 That's not entirely accurate. Haan woh ss Wali baat theek Hai lekin that was only when his daur started not after. The sehat card bhi shuru shuru mein chalta tha by the last 2 yrs of pti hospitals went into debt so most stopped taking it anyways
116,@AsadViews Is ka jawab de Zara jab tumhre baji ko awam ka Rona Nazar Ata ta ab Kiya Huwa lanat 10 lakh ka sehat card le ke bc 1bori atah deny pr or wo bhi ghareb apny Jan de rha ha 1 bori ke Liya 🖐️ dub ke mar ja bc https://t.co/AvjClMJOlV
117,"@MianAliAshfaq @MuradSaeedPTI Make lawyer Card for poor as well similar to Sehat card,
CC:  @ImranKhanPTI 
Idea by @PTIZAHIDNAWAZ"
118,@ShahFahd049 @shuglisam Allah aqal se nawazay sehat card Langer khanay ye hi Tum jesay ghatia insaan pe thapar ha
119,#phimcpk #SehatCard #punjab #lahore #Rawalpindi #Faisalabad #multan #DGKhan #Sahiwal #bahawalpur #Gujranwala #Sargodha #healthcards https://t.co/LPjojxxPQo
120,"@AdhadW @mugheesali81 Usnay universities and cancer hospitals banaye . Dua kar teray ghar may kisi ko cancer na ho or tujhay na jana parhay udhar. 10lakh ka sehat card, langar khanay for ghareeb. Loot sakta tha wo bhi  bana sakta tha flats in London, lekin he's not nawaz. Sab kuch logo pay lagaya"
121,@DrAsadNawaz @ImranKhanPTI My question was otherwise as you always claim that the sehat card is khan's invention...
122,@ItzJadoon @pmln_org @ImranKhanPTI @Jhagra @hinaparvezbutt @Aadiiroy2 @nausheenyusuf @MaryamNSharif @TararAttaullah @kdastgirkhan @ikhtiarwali @ZeshanMalick @betterpakistan @RashidNasrulah Kbi socho k yah bs mamsoby q lagate hain un  pe amal q ni hota.Q k yah chor hain us se pese khate hain awam se in ko kya lage. Dagardalay sehat card ka yai mazak urate the par Allah gawah he sehat card ktni bri nahmt thi tmhe tb pta chle g jab apni olad hospital Me ho gi tmhri
123,@ItzJadoon @pmln_org @ImranKhanPTI @Jhagra @hinaparvezbutt @Aadiiroy2 @nausheenyusuf @MaryamNSharif @TararAttaullah @kdastgirkhan @ikhtiarwali @ZeshanMalick @betterpakistan @RashidNasrulah O dagardalay kuch sharam kr. Sehat card pmln ka mansoba tha par imran khan ne us pe apni takhti lga di pmln ne chlya ni log bemari se marte rhe. Bijli k mansobe pmln ne lagay par un k dor me bijli ni ati thi imran khan jo bijli de rhe wo mansobe pmln k the. Aah dagardalay..
124,"You know, it's all our fault. We didn't appreciate Khan when he was giving us ""panah gahen"", ""sehat card"", ""kamyab jawan"", ""langar khaaney"". We mocked him. We questioned his capability. We rejected his ""plans"". Ab khao dhakkay 10 kilo aatay ke liye."
125,@OsmanOsyed9707 We had 0 covid cases. Definition of sehat card.
126,#phimcpk #SehatCard #punjab #lahore #Rawalpindi #Faisalabad #multan #DGKhan #Sahiwal #bahawalpur #Gujranwala #Sargodha #healthcards https://t.co/pvEmudnW7w
127,"@miandawoodadv Pta nhi iss ko kis ne wakeel bna dia
Kia ap kon2016 me sehat card available tha?"
128,@ChiryaClub Sehat card was same case. Medicine were made costly and in turn Sehat card issued. Result was winning voters and damaging state because only private sector was making bills of billions
129,@PHIMCnews @NatHealthCorps @AdvocateKids @advocatehealth @ErieFamHealth @GirlsintheGame @thelegalcouncil @tap360health Phimc health program k name pe khela ja raha jesa k bhakkar mein phimc health card sehat sahlat program k dmo aik doctor honay chaheay jo aik jali doctor hain un ka status chack karen zara
130,"@UzairYounus Political economy. Modern 3rd World political economy. Reminds me of old Sasta Tandoors, Sehat Card, and Yellow Cabs. There is a method to this madness, especially when now there is BISP and huge digital finance network. Believe me, nothing medieval about it."
131,@miandawoodadv Ye 200 sy kam amadni konse khandan ki hoti? Pti sehat card sb kalien tha aqal k andho
